qed_mean,qed_med,qed_min,qed_max,qed_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.4428390570572861,0.4453141951162194,0.28855501468564687,0.5914316843133631,0.06410496945487835,0.4428390570572861,0.4453141951162194,0.28855501468564687,0.5914316843133631,0.06410496945487835,75,10,1.252183198928833,0,0,12,0,0,0,0,0
0.44817128603067535,0.4494795188940291,0.28855501468564687,0.5914316843133631,0.06590779722535767,0.44817128603067535,0.4494795188940291,0.28855501468564687,0.5914316843133631,0.06590779722535767,85,10,1.3157055377960205,0,0,7,0,0,0,0,0
0.4545499060734987,0.45429731693669306,0.28855501468564687,0.6505461345048731,0.07325473835758259,0.4545499060734987,0.45429731693669306,0.28855501468564687,0.6505461345048731,0.07325473835758259,95,10,1.390676498413086,0,0,16,0,0,0,0,0
0.4650979239065136,0.4621753603674046,0.28855501468564687,0.6613522563883315,0.08006253594644949,0.4650979239065136,0.4621753603674046,0.28855501468564687,0.6613522563883315,0.08006253594644949,105,10,1.4727108478546143,0,0,25,0,0,0,0,0
0.4651193908710471,0.4651446623377845,0.21384922010636914,0.6613522563883315,0.08557416632443567,0.4651193908710471,0.4651446623377845,0.21384922010636914,0.6613522563883315,0.08557416632443567,115,10,1.5683503150939941,0,0,34,0,0,0,0,0
0.47045950636697076,0.4697455308901729,0.21384922010636914,0.6977518303965022,0.0882153464940639,0.47045950636697076,0.4697455308901729,0.21384922010636914,0.6977518303965022,0.0882153464940639,125,10,1.634882926940918,0,0,9,0,0,0,0,0
0.476699356768139,0.4757658344078177,0.21384922010636914,0.6977518303965022,0.09046412748896389,0.476699356768139,0.4757658344078177,0.21384922010636914,0.6977518303965022,0.09046412748896389,135,10,1.693077564239502,0,0,10,0,0,0,0,0
0.48317178579915837,0.4836494875400603,0.21384922010636914,0.6977518303965022,0.0921362668130239,0.48317178579915837,0.4836494875400603,0.21384922010636914,0.6977518303965022,0.0921362668130239,145,10,1.75919771194458,0,0,17,0,0,0,0,0
0.4858462901060558,0.4855501704829447,0.21384922010636914,0.6977518303965022,0.09413495544230548,0.4858462901060558,0.4855501704829447,0.21384922010636914,0.6977518303965022,0.09413495544230548,155,10,1.8529176712036133,0,0,23,0,0,0,0,0
0.4908010107566059,0.4907944052257903,0.21384922010636914,0.6977518303965022,0.09439753499104422,0.4908010107566059,0.4907944052257903,0.21384922010636914,0.6977518303965022,0.09439753499104422,165,10,1.9081883430480957,0,0,14,0,0,0,0,0
0.492192486829048,0.4926567860601735,0.21384922010636914,0.7301939828450146,0.09542370203088493,0.492192486829048,0.4926567860601735,0.21384922010636914,0.7301939828450146,0.09542370203088493,175,10,1.9843931198120117,0,0,17,0,0,0,0,0
0.4942651738658315,0.4926567860601735,0.21384922010636914,0.7301939828450146,0.09620255337710491,0.4942651738658315,0.4926567860601735,0.21384922010636914,0.7301939828450146,0.09620255337710491,185,10,2.070385217666626,0,0,22,0,0,0,0,0
0.4963613241900175,0.4926567860601735,0.21384922010636914,0.7301939828450146,0.09722006527266897,0.4963613241900175,0.4926567860601735,0.21384922010636914,0.7301939828450146,0.09722006527266897,195,10,2.168001174926758,0,0,29,0,0,0,0,0
0.4971190495420078,0.49980237110611453,0.21384922010636914,0.7301939828450146,0.09733126157564878,0.4971190495420078,0.49980237110611453,0.21384922010636914,0.7301939828450146,0.09733126157564878,205,10,2.2789828777313232,0,0,34,0,0,0,0,0
